speaker,word,phone,prev,post,voicing,start,end,VOT
S11,b e rr o j t a,t,j,a,voiceless,31.909,31.92276644089237,0.01376644089236833
S11,s_m a s_m p i,p,s_m,i,voiceless,32.31786079461822,32.327,0.00913920538177848
S11,g i n t j e n,t,n,j,voiceless,33.650000000000006,33.666000000000004,0.01599999999999823
S11,NA,t,NA,NA,voiceless,34.832057494250236,34.853,0.02094250574976541
S11,u s_m t e n,t,s_m,e,voiceless,41.43971900528979,41.452,0.01228099471020982
S11,a t e l j e rr a,t,a,e,voiceless,42.685,42.69669554622816,0.01169554622815383
S11,S a h a t y,t,a,y,voiceless,44.25749459176632,44.267817613845445,0.01032302207912039
S11,t a,t,y,a,voiceless,44.53051431347747,44.541,0.01048568652253578
S11,h o r i e k,k,e,e,voiceless,49.666,49.69103029783809,0.02503029783808585
S11,e s_a k o l a n,k,s_a,o,voiceless,49.999,50.018097522696095,0.01909752269609299
S11,e s_a k o l a n,k,s_a,o,voiceless,51.16033308072677,51.183,0.02266691927322739
S11,t a,t,a,a,voiceless,52.476,52.493,0.01700000000000301
S11,b e th i,th,e,i,voiceless,54.311,54.343999999999994,0.03299999999999414
S11,t e n o r e,t,NA,e,voiceless,57.516923697102115,57.52791995975161,0.01099626264949193
S11,e t a,t,e,a,voiceless,58.239999999999995,58.25252230565777,0.01252230565777523
S11,rr e D w i t j a k,t,i,j,voiceless,60.787,60.802,0.01500000000000056
S11,b i s_m i k i,k,i,i,voiceless,61.647,61.667,0.02000000000000312
S11,e s_m t a,t,s_m,a,voiceless,63.0312307348206,63.051,0.01976926517939858
S11,kh a m b j a t j a,kh,a,a,voiceless,63.491,63.536,0.0450000000000017
S11,kh a m b j a t j a,t,a,j,voiceless,63.87,63.90619180887764,0.03619180887763917
S11,b i s_m i k i,k,i,i,voiceless,65.39431335901561,65.41922326011957,0.0249099011039533
S11,s_a o s_a i k,k,i,e,voiceless,68.059,68.07499999999999,0.01599999999999113
S11,g i n t j e n,t,n,j,voiceless,68.49326218606255,68.51323498965041,0.01997280358786213
S11,i G a n d e t a n,t,e,a,voiceless,69.308,69.32019554622813,0.01219554622812779
S11,a ts_a a l d e t a n,t,e,a,voiceless,70.38602604300826,70.402,0.01597395699174342
S11,g i n t j e n,t,n,j,voiceless,71.18116783233668,71.193,0.0118321676633144
S11,o s_a t a t y r a t,t,s_a,a,voiceless,72.0491625101332,72.06172900189121,0.01256649175800817
S11,o s_a t a t y r a t,t,a,y,voiceless,72.21016323393168,72.221,0.01083676606832284
S11,S a m p a J,p,m,a,voiceless,74.1803081383903,74.19200000000001,0.01169186160970525
S11,e t a,t,e,a,voiceless,74.52830813839027,74.53999999999999,0.01169186160971946
S11,e D a t e n,t,a,e,voiceless,75.3300457647194,75.34299999999999,0.01295423528058847
S11,k a s_a k o,k,a,a,voiceless,77.444,77.468,0.02400000000000091
S11,k a s_a k o,k,s_a,o,voiceless,77.65100000000001,77.66993968146272,0.01893968146271163
S11,Z a t e n,t,a,e,voiceless,78.75059693767247,78.76271526793926,0.01211833026678732
S11,e t a,t,e,a,voiceless,80.9,80.918,0.01800000000000068
S11,i t e n,t,i,e,voiceless,83.748,83.763,0.01500000000000056
S11,b i s_m i G l e t a,t,e,a,voiceless,84.4527130312681,84.46300000000001,0.01028696873190426
S11,b i s_m i G l e t a,t,e,a,voiceless,87.39507721596135,87.412,0.01692278403865543
S11,t a,t,a,a,voiceless,87.6561845136074,87.667,0.01081548639260177
S11,t a,t,a,a,voiceless,88.24639224586014,88.25738850850964,0.01099626264949904
S11,o t o a,t,o,o,voiceless,89.452,89.46133448843426,0.00933448843426276
S11,u kh a n,kh,u,a,voiceless,91.254,91.295,0.04100000000001103
S11,a r m a D a t i k,t,a,i,voiceless,93.168,93.183,0.01500000000000056
S11,o t o,t,o,o,voiceless,96.35263638109475,96.36183733555656,0.0092009544618179
S11,e rr o t a j k,t,o,a,voiceless,97.60708520814164,97.616,0.00891479185834498
S11,e rr o t a k,t,o,a,voiceless,100.54519928357864,100.561,0.01580071642133873
S11,kh e n_d d u,kh,NA,e,voiceless,100.9602907672264,101.0125527822814,0.05226201505499262
S11,s_m y s_m t e n,t,s_m,e,voiceless,101.611,101.62901057612696,0.01801057612695444
S11,o t o a j n,t,o,o,voiceless,104.00994341881324,104.022,0.01205658118676922
S11,e t a,t,e,a,voiceless,105.7844871192214,105.79879033294732,0.01430321372592402
S11,n i k,k,i,e,voiceless,106.483,106.51,0.02700000000000102
S11,e rr o t a k,t,o,a,voiceless,106.8885365801653,106.8987374956572,0.01020091549190738
S11,n i t j e n,t,i,j,voiceless,107.61625045653174,107.63038850850964,0.01413805197790907
S11,b e s_a t e a,t,s_a,e,voiceless,108.93427017824288,108.94571526793928,0.01144508969640867
S11,b e s_a t e,t,s_a,e,voiceless,109.39582135119596,109.409,0.0131786488040575
S11,e s_m t a,t,s_m,a,voiceless,111.742,111.7631838166973,0.02118381669731661
S11,a m b e l o p e t a n,p,o,e,voiceless,113.86725045653174,113.883,0.01574954346827439
S11,a m b e l o p e t a n,t,e,a,voiceless,114.0005520894664,114.013,0.01244791053358085
S11,a ts_m y j k i n,k,j,i,voiceless,116.29459268284268,116.33812890639376,0.04353622355105813
S11,o t o a,t,o,o,voiceless,117.76059693767247,117.76890023804047,0.00830330036798443
S11,m o n t a t y,t,n,a,voiceless,118.1699828622355,118.1749199597516,0.00493709751610538
S11,m o n t a t y,t,a,y,voiceless,118.33842369710212,118.3494199597516,0.01099626264948483
S11,k a m j u n e t a,k,a,a,voiceless,119.1499625448642,119.161992417487,0.01202987262279009
S11,k a m j u n e t a,t,e,a,voiceless,119.69884107290704,119.71,0.01115892709294996
S11,a t,t,a,i,voiceless,119.889,119.905,0.01599999999999113
S11,k a m j o n e t a,k,<p:>,a,voiceless,120.82450978865084,120.84142775496018,0.01691796630933595
S11,k a m j o n e t a,t,e,a,voiceless,121.351,121.36968381669732,0.01868381669731889
S11,o t o,t,o,o,voiceless,122.43930813839027,122.451,0.01169186160970525
S11,k o n_d d y j t a,k,a,o,voiceless,122.812,122.83,0.01800000000000068
S11,i n_d t e r j o r a,t,n_d,e,voiceless,123.423,123.438,0.01500000000000056
S11,m o s_m t y,t,s_m,y,voiceless,125.289,125.306,0.0169999999999959
S11,e r t e n,t,r,e,voiceless,135.50448942387305,135.522,0.01751057612696627
S11,p a z_a a t y,p,a,a,voiceless,137.23418220722382,137.24433578749276,0.010153580268934091
S11,p a z_a a t y,t,a,y,voiceless,137.55714811062555,137.5672467191812,0.01009860855566557
S11,o t o a,t,o,o,voiceless,138.517,138.52622699747008,0.00922699747007982
S11,m o D i f i k a s_m j o n e,k,i,a,voiceless,140.951,140.981,0.03000000000000113
S11,ph a s_a a t y,t,a,y,voiceless,144.1722625043428,144.184,0.01173749565720072
S11,Z w i t e j k,t,i,e,voiceless,145.99726501034962,146.014,0.01673498965038788
S11,t a,t,<p:>,a,voiceless,146.69255596699475,146.70169794324897,0.00914197625419888
S11,m o s_m t y,t,s_m,y,voiceless,148.44614811062553,148.4566955462281,0.0105474356025752
S11,k o n_d d w i t a,k,a,o,voiceless,149.291,149.3067152679393,0.01571526793929933
S11,k o n_d d w i t a,t,i,a,voiceless,149.67264811062554,149.68699999999998,0.01435188937443854
S11,i n_d t e r j o r a,t,n_d,e,voiceless,149.8879236971021,149.9000420273689,0.01211833026678732
S11,k o n_d d w i t a,k,<p:>,o,voiceless,151.4868282599884,151.5042489316734,0.01742067168501648
S11,k o n_d d w i t a,t,i,a,voiceless,151.778,151.7909199597516,0.0129199597515992
S11,i n_d t e r j o r a,t,n_d,e,voiceless,151.966,151.981,0.01499999999998635
S11,t a,t,NA,a,voiceless,152.492,152.50504202736892,0.01304202736892534
S11,t r a F f o r m a t y,t,a,y,voiceless,153.245,153.25719554622813,0.01219554622812779
S11,m o s_m t y,t,s_m,y,voiceless,155.07398691661842,155.10714238853504,0.03315547191661494
S11,e t a,t,e,a,voiceless,155.5487190052898,155.561,0.01228099471020982
S11,t a,t,i,a,voiceless,156.92384107290707,156.9307978921343,0.00695681922724134
S11,k a m j o n e t a,k,a,a,voiceless,157.09027017824286,157.103,0.01272982175714787
S11,k a m j o n e t a,t,e,a,voiceless,157.5924748700552,157.6030223056578,0.0105474356025752
S11,a t,t,a,i,voiceless,157.79882135119595,157.80959320032198,0.01077184912603002
S11,e t a,t,e,a,voiceless,158.46690397539098,158.4844082302208,0.01750425482981654
S11,h a j k i n,k,j,i,voiceless,159.06204728141287,159.0903685458462,0.02832126443331617
S11,Z u i t e n,t,i,e,voiceless,159.915,159.92490023804046,0.00990023804047268
S11,g i n_d t j e n,t,n_d,j,voiceless,160.257,160.27071526793927,0.01371526793926136
S11,e t a,t,e,a,voiceless,161.44363804574405,161.45487718876663,0.01123914302257844
S11,e t a,t,e,a,voiceless,163.018,163.036,0.01800000000000068
S11,o t o,t,o,o,voiceless,163.8420221025973,163.8480812677307,0.00605916513339366
S11,j o i t e n,t,i,e,voiceless,168.65374618123911,168.666,0.01225381876088249
S11,g i n t j e n,t,n,j,voiceless,168.94627017824288,168.959,0.01272982175711945
S11,a B i t y D a,t,i,y,voiceless,170.37312838891444,170.39100000000002,0.01787161108558166
S11,kh u s_a t e n,kh,<p:>,u,voiceless,173.5735193018527,173.60336630047274,0.02984699862003026
S11,kh u s_a t e n,t,s_a,e,voiceless,173.792,173.811,0.01900000000000545
S11,s_m e j t,t,j,a,voiceless,174.465,174.48296954545455,0.01796954545454809
S11,S a r p a n_d t a j n,p,r,a,voiceless,180.8198700955414,180.831,0.01112990445858486
S11,S a r p a n_d t a j n,t,n_d,a,voiceless,181.051115463231,181.062,0.01088453676899803
S11,S i l a ts_m e k o,k,e,o,voiceless,182.03165541690797,182.055,0.02334458309204024
S11,i kh u s_a i i k,kh,i,u,voiceless,184.35199033693652,184.398,0.04600966306347232
S11,m o r t e s_m a,t,r,e,voiceless,185.15952715981473,185.172,0.01247284018526784
S11,m o r t e s_m a,t,r,e,voiceless,185.81614811062556,185.83,0.01385188937445036
S11,k a rr a t j a k,k,a,a,voiceless,186.23754728141287,186.25215816734223,0.01461088592935766
S11,k a rr a t j a k,t,a,j,voiceless,186.655,186.67,0.01499999999998635
S11,k a rr a t j a k,k,a,i,voiceless,186.881,186.89661292203309,0.01561292203308539
S11,i t e n,t,i,e,voiceless,187.03990397539096,187.05269554622816,0.01279157083718018
S11,s_m i t j e n a,t,i,j,voiceless,187.39226218606257,187.417,0.02473781393746321
S11,t a,t,i,a,voiceless,189.63623073482057,189.6537349896504,0.01750425482981654
S11,i t e n,t,i,e,voiceless,193.138,193.161,0.02299999999999613
S11,s_m y t e n a k,t,y,e,voiceless,193.468,193.487,0.01899999999997703
S11,o f i s_m j u a j n_d d a k o,k,a,o,voiceless,194.636,194.663,0.02700000000001523
