sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Bunacaimb,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,0,0,1,NA,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arisaig,Bunacaimb,Arisaig,1110,1023,92,407,0.4,56.923488999999996,-5.8632221,m,1896,-5.8632221,56.923488999999996,FALSE,35,NA
Morar Village,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,Morar,Morar Village,North Morar,444,405,91,162,0.4,56.969315,-5.8350462,m,1896,-5.8350462,56.969315,FALSE,33,NA
Kildonan,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,Eigg,Kildonan,Kildonan,233,215,92,59,0.27,56.888219,-6.1224232,m,1882,-6.1224232,56.888219,FALSE,47,NA
Canna,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,NA,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,Canna,Canna,Canna,99,80,81,14,0.18,57.05432,-6.5204427,f,1902,-6.5204427,57.05432,TRUE,44,Canna
Kinloch Hourn,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Knoydart,Kinloch Hourn,Knoydart,415,366,88,64,0.17,57.108123,-5.3867666,m,1913,-5.3867666,57.108123,FALSE,32,NA
Arnisdale,97,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,1,0,1,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,0,0,0,Knoydart,Arnisdale,Knoydart,415,366,88,64,0.17,57.129986,-5.5706077,m,1886,-5.5706077,57.129986,FALSE,24,NA
Galltair,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,Glenelg,Galltair,Glenelg & Glenmore,257,233,91,89,0.38,57.218217,-5.6288509,m,1887,-5.6288509,57.218217,FALSE,42,NA
Leacachan,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,0,1,1,1,1,0,1,0,0,NA,0,0,0,0,Glenshiel,Leacachan,Glenshiel (NB: p 10),219,162,74,29,0.18,57.239442,-5.5148722,m,1878,-5.5148722,57.239442,FALSE,41,NA
Ault a' Chruinn,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,NA,0,1,0,1,0,NA,1,0,0,0,0,1,NA,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Glenshiel,Ault a' Chruinn,Glenshiel (NB: p 10),219,162,74,29,0.18,57.224248,-5.4139857,m,1906,-5.4139857,57.224248,FALSE,30,NA
Inverinate,101,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Kintail,Inverinate,Inverinate,165,149,90,57,0.38,57.231855,-5.464419,m,1906,-5.464419,57.231855,FALSE,14,NA
Dornie,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,Kintail,Dornie,Dornie,118,101,86,13,0.13,57.284271,-5.5191496,m,1891,-5.5191496,57.284271,FALSE,43,Dornie
Duirinish,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,1,1,1,NA,0,0,0,NA,0,0,0,0,Lochalsh,Duirinish,Duirinish,250,250,100,76,0.3,57.31538,-5.6882793,f,1886,-5.6882793,57.31538,TRUE,25,NA
Lower Breakish,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,NA,1,0,1,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,Skye,Lower Breakish,Lower Breakish,424,400,94,163,0.41,57.238199,-5.86296,f,1899,-5.86296,57.238199,TRUE,27,NA
Calligary,105,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,0,1,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Calligary,Calligary,210,208,99,42,0.2,57.056391,-5.9265394,m,1894,-5.9265394,57.056391,FALSE,28,NA
