subject,trial,Condition,Age,pupil_max
3,6,Dense,YA,840.3
3,7,Sparse,YA,250.493253968254
3,8,Sparse,YA,642.9
3,9,Sparse,YA,867.34
3,10,Sparse,YA,319.82
3,11,Sparse,YA,192.62
3,12,Sparse,YA,129.96
3,13,Dense,YA,26.6200000000003
3,14,Dense,YA,317.22
3,15,Dense,YA,457.08
3,16,Sparse,YA,34.0600000000004
3,17,Sparse,YA,240.7
3,18,Sparse,YA,727.7
3,19,Dense,YA,676
3,20,Dense,YA,277.68
3,21,Dense,YA,896.76
3,22,Sparse,YA,510.22
3,23,Sparse,YA,951.08
3,24,Dense,YA,127.18
3,25,Sparse,YA,670.62
3,26,Dense,YA,513.24
3,27,Dense,YA,380.94
3,28,Dense,YA,1016.36
3,29,Dense,YA,238.46
3,30,Dense,YA,634.02
3,31,Sparse,YA,355.899999999999
3,32,Dense,YA,885.7
3,33,Dense,YA,61.1599999999996
3,34,Sparse,YA,783.58
3,35,Dense,YA,239.56
3,36,Sparse,YA,681.48
3,37,Sparse,YA,430.1
3,38,Dense,YA,896.340000000001
3,39,Dense,YA,122.92
3,40,Dense,YA,815.8
3,41,Dense,YA,236.8
3,42,Dense,YA,140.66
3,43,Dense,YA,804.46
3,44,Sparse,YA,239.16
3,45,Sparse,YA,956.76
3,46,Dense,YA,299.8
3,47,Sparse,YA,20.9200000000002
3,48,Dense,YA,360.18
3,49,Sparse,YA,64.4800000000001
3,50,Dense,YA,364.72
3,51,Sparse,YA,436.54
3,52,Dense,YA,840.48
3,53,Dense,YA,259.7
3,54,Dense,YA,271.58
3,55,Sparse,YA,229.679999999999
3,56,Sparse,YA,844.54
3,57,Dense,YA,239.48
3,58,Sparse,YA,880.92
3,59,Sparse,YA,361.3
3,60,Dense,YA,273.8
3,61,Sparse,YA,199.8
3,62,Dense,YA,368.44
3,63,Dense,YA,1538.9
3,64,Sparse,YA,800.56
3,65,Sparse,YA,278.960000000001
3,66,Sparse,YA,553.700000000001
3,67,Dense,YA,510.16
3,68,Dense,YA,296.06
3,69,Dense,YA,223.7
3,70,Dense,YA,649.24
3,71,Sparse,YA,655.88
3,72,Sparse,YA,311.54
3,73,Dense,YA,968.66
3,74,Sparse,YA,483.14
3,75,Sparse,YA,1111.14
3,76,Sparse,YA,33.3599999999998
3,77,Sparse,YA,78.54
3,78,Sparse,YA,183.1
3,79,Sparse,YA,290.06
3,80,Sparse,YA,889.900000000001
4,1,Dense,YA,874.64
4,2,Dense,YA,307.12
4,3,Dense,YA,580.7
4,4,Dense,YA,609.72
4,5,Dense,YA,521.04
4,6,Sparse,YA,644.68
4,7,Sparse,YA,535.56
4,8,Dense,YA,287.04
4,9,Sparse,YA,318.62
4,10,Sparse,YA,1368.64
4,11,Dense,YA,506.6
4,12,Dense,YA,1294.06
4,13,Sparse,YA,123.52
4,14,Sparse,YA,430.3
4,15,Dense,YA,470.8
4,16,Dense,YA,515.92
4,17,Sparse,YA,918.82
4,18,Sparse,YA,635.679999999999
4,19,Sparse,YA,986.98
4,20,Dense,YA,95.1397665369655
4,21,Sparse,YA,249.64
4,22,Dense,YA,607.045
4,23,Dense,YA,243.7
4,24,Dense,YA,456.420000000001
4,25,Dense,YA,406.84
