id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31516,apical,_V,o,s,i,s,content,0.01,1.42,yes,409,-1.76938002380436,fricative,sosiego,so#s#iegoan,ConSpell,low
31517,apical,#_,&,s,o,s,content,0.01,1.42,yes,409,-1.76938002380436,fricative,sosiego,#s#osiegoan,ConSpell,low
31519,apical,_V,o,s,o,s,grammatical,0.01,1.42,yes,409,-1.76938002380436,fricative,dudoso,dudo#s#o,ConSpell,low
31521,apical,_V,i,s,o,s,content,0.31,0.71,yes,410,-0.912922951128207,fricative,abiso,havi#s#oaren,ConSpell,mid
31524,apical,_V,a,s,i,z,content,30.39,95.72,no,410,0.230677609861331,fricative,asi,A#z#i,InnSpell,high
31525,laminal,_V,au,z,a,z,content,18.89,30.49,old,410,0.112089805875737,fricative,gauza,gau#z#a,ConSpell,mid
31528,laminal,_V,a,z,a,z,content,0.01,0.71,no,410,-1.76938002380436,fricative,erazazi,Era#z#azi,ConSpell,low
31530,laminal,_V,l,z/tz,e,c,grammatical,5.1,1.42,no,410,-0.214480473498638,affricate,il,il#c#eco,ConSpell,mid
31531,apical,_C,e,s,k,s,content,21.43,19.14,no,411,0.143554651549363,fricative,esku,e#s#cua,ConSpell,mid
31532,laminal,_C,e,z,p,s,content,0.03,7.8,old,411,-1.49537950815602,fricative,ezpata,e#s#patada,InnSpell,low
31536,apical,_V,n,s/ts,a,s,content,0.01,0.71,yes,411,-1.76938002380436,affricate,pentsatibo,pen#s#ativo,ConSpell,low
31538,laminal,_C,ai,z,k,z,content,6.67,5.67,no,411,-0.14754505607986,fricative,gaizki,gai#z#qui,ConSpell,mid
31539,apical,_V,i,s,a,s,content,0.01,0.71,yes,411,-1.76938002380436,fricative,gisatu,gui#s#atua,ConSpell,low
31540,laminal,_V,u,z,i,c,grammatical,0.01,16.31,no,411,-1.76938002380436,fricative,guzi,gu#c#ia,ConSpell,low
31543,apical,_C,e,s,k,s,content,0.33,1.42,yes,412,-0.897329997883372,fricative,eskarmentu,E#s#carmentatu,ConSpell,mid
31545,apical,#_,&,s,u,s,content,0.53,1.42,yes,412,-0.779165329495251,fricative,suerte,#s#uertteac,ConSpell,mid
31546,laminal,_V,i,z,i,c,content,0.01,2.13,yes,412,-1.76938002380436,fricative,juizio,jui#c#ioan,ConSpell,low
