id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31870,laminal,_C,e,z,t,s,grammatical,304.64,216.96,no,432,0.805562756089495,fricative,ez,e#s#tet,InnSpell,high
31871,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,ezagu#c#en,ConSpell,mid
31872,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,e#z#agucen,ConSpell,mid
31873,apical,_V,u,s,i,c,content,48.85,30.49,no,432,0.349055874419847,fricative,ekusi,ecu#c#iaz,InnSpell,high
31875,laminal,_#,a,z,&,z,grammatical,48.85,30.49,no,432,0.349055874419847,fricative,ekusi,ecucia#z#,ConSpell,high
31876,laminal,_V,a,z,i,c,content,0.01,1.42,yes,432,-1.76938002380436,fricative,reputazio,/Reputta#c#ios,ConSpell,low
31877,laminal,_#,o,z,&,s,grammatical,0.01,1.42,yes,432,-1.76938002380436,fricative,reputazio,/Reputtacio#s#,InnSpell,low
31878,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,e#z#aguceas,ConSpell,mid
31879,laminal,_#,a,z,&,s,grammatical,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,ezagucea#s#,InnSpell,mid
31880,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,ezagu#c#eas,ConSpell,mid
31881,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,Ezagu#c#en,ConSpell,mid
31882,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,E#z#agucen,ConSpell,mid
31883,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,E#z#agucen,ConSpell,mid
31884,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,Ezagu#c#en,ConSpell,mid
31885,laminal,_C,e,z,t,s,grammatical,304.64,216.96,no,432,0.805562756089495,fricative,ez,/E#s#ttett,InnSpell,high
31886,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,ezagu#c#en,ConSpell,mid
31887,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,e#z#agucen,ConSpell,mid
31888,laminal,_V,e,z,a,z,content,7.94,80.12,no,432,-0.104075229492683,fricative,ezagutu,/E#z#agucen,ConSpell,mid
31889,laminal,_V,u,tz,e,c,grammatical,7.94,80.12,no,432,-0.104075229492683,affricate,ezagutu,/Ezagu#c#en,ConSpell,mid
31890,apical,#_,&,s,o,s,content,0.02,1.42,yes,432,-1.5965049459879,fricative,solo,#s#olo,ConSpell,low
