word_string,word_type,word_gender,word_represents_animate,word_num_letters,word_frequency,concreteness_n,concreteness_mean,concreteness_median,concreteness_stddev,concreteness_min,concreteness_max,subjective_frequency_n,subjective_frequency_mean,subjective_frequency_median,subjective_frequency_stddev,subjective_frequency_min,subjective_frequency_max,imageability_n,imageability_mean,imageability_median,imageability_stddev,imageability_min,imageability_max,age_of_acquisition_n,age_of_acquisition_mean,age_of_acquisition_median,age_of_acquisition_stddev,age_of_acquisition_min,age_of_acquisition_max,rt_milliseconds_mean,rt_milliseconds_median,rt_milliseconds_stddev,rt_milliseconds_min,rt_milliseconds_max,rt_milliseconds_n
zrak,Nc,m,inanimate,4,137322,30,4,4.5,1.21106014164,1,5,30,4.36666666667,5,0.795124029458,2,5,30,4.23333333333,5,1.33374993492,1,5,30,4.96666666667,4,2.37323033484,1,11,501.9047619047619,467.5,114.90034059764193,339,897,42
cijev,Nc,f,inanimate,5,46478,30,4.93333333333,5,0.249443825785,4,5,30,3.16666666667,3,0.933928381741,1,5,30,4.86666666667,5,0.561743318212,2,5,30,5.93333333333,5,2.03196675388,3,10,616,558,242.5321628155738,370,1526,41
repriza,Nc,f,inanimate,7,7699,30,3.76666666667,4,1.28279209366,1,5,30,3.63333333333,4,0.87496031656,2,5,30,3.96666666667,4,1.1685698762,1,5,30,6.8,7,1.73973178009,4,11,588.4047619047619,561.5,151.03659054708655,404,1264,42
tamnica,Nc,f,inanimate,7,4873,30,4.73333333333,5,0.62893207547,2,5,30,2.06666666667,2,1.06249183003,1,5,30,4.66666666667,5,0.69920589878,2,5,30,8.1,8,2.65015722804,3,15,600.6666666666666,547,159.9394194255402,408,1026,42
radij,Nc,m,inanimate,5,24666,30,3.43333333333,4,1.47610598837,1,5,30,1.36666666667,1,0.604611904907,1,3,30,2.4,2,1.30639452948,1,5,30,12.0666666667,12.5,2.87440815164,3,19,879.3513513513514,756,429.73488055726585,390,2746,37
bježanje,Nc,n,inanimate,8,3240,30,3.83333333333,4,1.12792828771,1,5,30,3.63333333333,4,0.948097510222,1,5,30,4.53333333333,5,0.669991708075,3,5,30,5.3,5,1.50886270637,3,8,610.8333333333334,540.5,223.98910215941058,400,1505,42
crta,Nc,f,inanimate,4,42830,30,4.66666666667,5,0.86922698736,2,5,30,4.13333333333,4,0.95684667296,2,5,30,4.86666666667,5,0.33993463424,4,5,30,4.33333333333,4,1.16428327977,2,7,547.1190476190476,524.5,132.1276548997777,375,958,42
latinica,Nc,f,inanimate,8,7528,30,4.5,5,0.957427107756,1,5,30,2.16666666667,2,0.897527467856,1,4,30,4.86666666667,5,0.33993463424,4,5,30,8.06666666667,7,2.70719206723,5,20,685.175,568.5,314.2875449289009,422,2132,40
grad,Nc,m,inanimate,4,1078462,30,4.63333333333,5,0.752034278179,2,5,29,4.79310344828,5,0.405080693947,4,5,30,4.83333333333,5,0.37267799625,4,5,30,4.6,4.5,1.92527054376,2,11,490.95238095238096,471.5,98.09625745103692,375,891,42
tjeranje,Nc,n,inanimate,8,3071,30,3.4,3,0.952190457139,2,5,30,2.96666666667,3,0.982626864866,1,5,30,3.53333333333,3.5,1.11753697428,1,5,30,6.53333333333,6,1.97877627729,3,12,736.275,639,471.18350649706724,433,3380,40
selidba,Nc,f,inanimate,7,4565,30,4.23333333333,4,0.715697018453,2,5,30,2.93333333333,3,0.771722460186,1,5,30,4.36666666667,5,0.835995746932,2,5,30,6.1,6,2.18097837373,2,12,597.8571428571429,573.5,177.4126472006987,392,1417,42
svijet,Nc,m,inanimate,6,880246,30,3.76666666667,4,1.35851225815,1,5,30,4.33333333333,5,0.86922698736,2,5,30,4.46666666667,5,0.845905169363,2,5,30,4.83333333333,4.5,2.14605581371,1,12,585.219512195122,506,203.87183623481712,359,1177,41
zid,Nc,m,inanimate,3,135223,30,4.96666666667,5,0.179505493571,4,5,30,4.13333333333,4,0.718021974285,3,5,30,4.86666666667,5,0.49888765157,3,5,30,4.3,4,1.06926766216,2,6,535.2439024390244,530,107.48204047370074,347,820,41
pravo,Nc,n,inanimate,5,719350,30,1.96666666667,2,0.948097510222,1,4,30,3.6,4,0.986576572463,1,5,30,3.1,3,1.32539302347,1,5,30,9.1,9,3.54353872092,1,19,604.5238095238095,488,399.8467534550558,331,2719,42
hrana,Nc,f,inanimate,5,257642,30,4.93333333333,5,0.249443825785,4,5,30,4.93333333333,5,0.249443825785,4,5,30,4.83333333333,5,0.734090518185,1,5,30,3.46666666667,3,1.11753697428,2,6,509.0238095238095,495,117.42428553716668,345,895,42
reforma,Nc,f,inanimate,7,61139,30,2.93333333333,3,1.33998341615,1,5,30,3.1,3,1.0115993937,1,5,30,3.16666666667,3.5,1.34370962472,1,5,30,11.8,12,2.66333124739,5,20,643.9756097560976,566,289.6102111291035,389,1784,41
osjećaj,Nc,m,inanimate,7,207530,30,2.1,2,1.32539302347,1,5,30,4.63333333333,5,0.706320670014,2,5,30,3.53333333333,3.5,1.35973853696,1,5,30,5.43333333333,5,1.70652343149,3,10,598.8571428571429,509,276.19978377524353,382,1880,42
šara,Nc,f,inanimate,4,3027,30,3.96666666667,4,1.07960898271,2,5,30,2.36666666667,2,1.0482790129,1,5,30,4.26666666667,5,0.99777530314,1,5,30,5.96666666667,5,2.08939119256,3,11,926.3428571428572,823,436.04782136940946,366,2232,35
konkurencija,Nc,f,inanimate,12,103908,29,2.8275862069,3,1.28838218567,1,5,29,3.58620689655,4,0.810161387895,2,5,30,3.4,4,1.35646599663,1,5,30,9.93333333333,10,3.42474654374,2,15,669.1904761904761,619,226.19959221192437,401,1372,42
prijetnja,Nc,f,inanimate,9,62690,30,3.23333333333,3,1.20231258646,1,5,30,3.26666666667,3,0.891939210684,2,5,30,3.63333333333,4,1.13968806649,1,5,30,8.03333333333,8,2.79861076647,2,15,626.7073170731708,568,234.7515967892912,371,1430,41
puč,Nc,m,inanimate,3,3738,30,2.7,3,1.1874342087,1,5,30,1.63333333333,1,0.752034278179,1,3,30,2.46666666667,2,1.23107902084,1,5,28,13.1071428571,13.5,3.2769681732,2,19,720.8857142857142,675,191.7475011615032,451,1224,35
željezo,Nc,n,inanimate,7,20264,30,4.83333333333,5,0.52174919475,3,5,30,3.4,3,0.916515138991,1,5,30,4.76666666667,5,0.495535624911,3,5,30,7.53333333333,7.5,3.0521395046,2,13,532.2857142857143,497.5,118.57122706838173,378,961,42
homoseksualnost,Nc,f,inanimate,15,9338,30,3.76666666667,4,1.22972444971,1,5,30,3.5,4,1.0246950766,1,5,30,4.26666666667,5,1.06249183003,1,5,30,10.9333333333,11,2.27937613297,6,15,640,595.5,140.77520568830778,457,964,42
kultura,Nc,f,inanimate,7,263079,30,2.3,2,1.12989675045,1,5,30,4.4,4,0.553774924195,3,5,30,3.43333333333,3,1.256538455,1,5,30,7.43333333333,7,3.07336225583,2,17,639.8571428571429,512.5,378.04307222845694,388,2505,42
živac,Nc,m,inanimate,5,43102,30,4.3,5,1.12989675045,1,5,30,3.66666666667,4,1.1352924244,1,5,30,4.3,5,0.9,2,5,30,8.83333333333,9.5,3.15260033764,4,16,584.609756097561,556,141.0923240379824,398,1205,41
turnir,Nc,m,inanimate,6,123471,30,4.3,5,0.9,2,5,30,3.36666666667,3,1.01598337694,1,5,30,4.3,5,0.9,2,5,30,8.16666666667,7.5,2.72131504158,5,18,592.6923076923077,527,226.31558704444387,378,1347,39
odnos,Nc,m,inanimate,5,527484,30,2.2,2,1.07703296143,1,4,30,4.4,5,0.879393730552,2,5,30,3.56666666667,4,1.28279209366,1,5,30,6.86666666667,6.5,3.00813711271,2,14,508.1666666666667,498,92.85312731422955,319,783,42
upaljač,Nc,m,inanimate,7,4507,30,5,5,0,5,5,30,3.96666666667,4,1.0482790129,2,5,30,4.86666666667,5,0.49888765157,3,5,30,6.16666666667,6,2.8057480682,2,16,572.4047619047619,548,144.90468852752488,389,998,42
džep,Nc,m,inanimate,4,44141,30,5,5,0,5,5,30,4.46666666667,4.5,0.561743318212,3,5,30,4.76666666667,5,0.615539510421,3,5,30,4.7,4.5,2.23830292856,2,12,641.8536585365854,583,274.0966582225702,360,1946,41
skromnost,Nc,f,inanimate,9,6166,30,1.7,1,1.00498756211,1,4,30,3.66666666667,4,0.69920589878,2,5,30,3.3,3,1.21518174224,1,5,30,6.43333333333,6,2.24623141184,2,12,568.4047619047619,563.5,104.4792100976307,366,894,42
suicid,Nc,m,inanimate,6,4592,30,4.13333333333,4,1.05619863452,1,5,30,2.4,2,1.08320512062,1,5,30,3.96666666667,4,1.13968806649,1,5,30,10.1666666667,10,2.4910952522,3,15,674.390243902439,601,278.3811126898501,375,2162,41
flora,Nc,f,inanimate,5,8287,29,3.86206896552,4,1.35758756448,1,5,30,2.16666666667,2,0.778174501995,1,4,30,4.23333333333,4,0.803464719546,3,5,30,10.3333333333,10,2.62466929134,5,15,591.452380952381,587,117.88340713230014,407,869,42
kampanja,Nc,f,inanimate,8,112527,30,2.86666666667,3,1.20369800568,1,5,30,2.86666666667,3,1.14697670227,1,5,30,3.36666666667,3,1.11005505369,1,5,30,10.8,10,2.58714772159,5,16,619.9285714285714,559,238.77128487495358,387,1889,42
referenca,Nc,f,inanimate,9,13762,30,3.16666666667,3,1.59338912036,1,5,30,3.33333333333,3.5,0.942809041582,1,5,30,2.96666666667,3,1.3287420952,1,5,30,13.0333333333,14,3.12498888887,5,20,637.547619047619,569,197.0119721979219,424,1417,42
dadilja,Nc,f,animate,7,4440,30,4.86666666667,5,0.561743318212,2,5,29,2.93103448276,3,0.944349237078,1,5,30,4.63333333333,5,0.657436097444,3,5,30,6.16666666667,6,2.26691175146,3,12,595.4285714285714,550,142.36420878946672,437,1079,42
parfem,Nc,m,inanimate,6,16554,30,4.86666666667,5,0.426874949162,3,5,30,4.43333333333,5,0.803464719546,2,5,30,4.63333333333,5,0.752034278179,2,5,30,6.06666666667,5,2.42120263964,3,12,553.1428571428571,528,126.02507908147207,361,903,42
boksač,Nc,m,animate,6,7998,30,4.96666666667,5,0.179505493571,4,5,30,3.13333333333,3,1.17567947257,1,5,30,4.8,5,0.653197264742,2,5,30,5.83333333333,6,1.95078331845,1,12,606,521,330.95375846770867,354,2458,42
odigravanje,Nc,n,inanimate,11,4602,29,2.37931034483,2,1.06394818073,1,5,30,2.53333333333,3,1.05619863452,1,5,30,2.9,3,1.19303534454,1,5,30,9.2,10,3.2083225108,2,15,789.5121951219512,638,407.4878600615741,434,2388,41
tijelo,Nc,n,inanimate,6,440561,30,4.83333333333,5,0.453382350291,3,5,30,4.66666666667,5,0.69920589878,2,5,30,4.83333333333,5,0.52174919475,3,5,30,5.1,5,2.35725829443,2,12,508.8333333333333,496,98.03158193618304,400,890,42
providnost,Nc,f,inanimate,10,3478,30,2.5,3,1.47761068395,1,5,30,2.83333333333,3,1.21335164821,1,5,30,3.1,3,1.3503086067,1,5,30,10.3,10.5,3.43656805549,3,17,849.675,713.5,607.2541134758441,404,4187,40
odjava,Nc,f,inanimate,6,3121,30,3.13333333333,3.5,1.49962958389,1,5,30,3.96666666667,4,0.948097510222,1,5,30,3.76666666667,4,1.20231258646,1,5,30,9.23333333333,9,3.67589747167,3,19,609.0238095238095,537.5,221.26327857028187,396,1432,42
